"Personal information has been redacted.", "19 responses"
"Timestamp","Grade","What coding languages do you know?","What do you want to make with programming?","What days work best for your schedule this summer?"
"2023/05/20 4:40:50 PM EST","7th","Python;Java;C/C++","","Sunday"
"2023/05/20 4:48:37 PM EST","Below 6th","Python","website, algorithm","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday"
"2023/05/20 5:16:41 PM EST","7th","Don't know any","","Monday;Tuesday;Thursday;Friday;Saturday"
"2023/05/20 5:33:23 PM EST","Below 6th","Python","Draw pictures","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday"
"2023/05/20 5:52:05 PM EST","7th","Don't know any","Games","Saturday;Sunday"
"2023/05/20 7:06:54 PM EST","8th","Don't know any","","Friday;Saturday;Sunday"
"2023/05/20 7:07:42 PM EST","7th","Don't know any","","Friday;Saturday;Sunday"
"2023/05/20 7:56:00 PM EST","9th","Python","","Saturday;Sunday"
"2023/05/20 8:58:09 PM EST","8th","Python","Game","Friday;Saturday"
"2023/05/20 9:06:31 PM EST","Below 6th","Python","Application Programs ","Saturday;Sunday"
"2023/05/20 9:09:45 PM EST","6th","Don't know any;little Python","make life easy","Sunday"
"2023/05/20 9:12:44 PM EST","7th","Don't know any;blocking coding for Lego league","","Sunday"
"2023/05/20 9:28:13 PM EST","Below 6th","Don't know any","Python","Wednesday;Sunday"
"2023/05/20 10:04:24 PM EST","Below 6th","Don't know any","","Saturday;Sunday"
"2023/05/21 7:40:42 AM EST","Above 9th","Don't know any","health research application","Friday"
"2023/05/21 7:58:15 AM EST","8th","Python;Java","Diagrams, designs, architecture, games, robots","Friday;Saturday;Sunday"
"2023/05/22 8:01:10 AM EST","8th","","Run analysis","Sunday"
"2023/05/22 8:01:41 AM EST","Below 6th","Don't know any","Run analysis","Sunday"
"2023/05/22 8:02:03 AM EST","Below 6th","Don't know any","","Sunday"